item_id,view_count,purchase_count
1002524,83,1
1002525,44,1
1002540,34,3
1002544,551,194
1002545,33,3
1002547,63,13
1003312,47,3
1003333,41,3
1003499,44,1
1003712,221,3
1003943,86,2
1004082,28,2
1004174,32,3
1004210,46,2
1004225,36,10
1004226,321,97
1004227,101,11
1004228,24,1
1004229,65,14
1004237,49,1
1004240,52,6
1004242,69,4
1004247,57,9
1004249,164,4
1004252,49,20
1004255,68,34
1004258,30,1
1004259,50,12
1004321,106,1
1004322,92,1
1004353,96,3
1004402,34,1
1004565,202,11
1004566,105,2
1004653,104,3
1004659,371,6
1004672,135,1
1004682,95,2
1004708,142,5
1004709,146,1
1004720,175,9
1004723,210,18
1004748,107,5
1004749,102,15
1004756,82,1
1004766,210,4
1004767,151,5
1004768,454,4
1004781,219,3
1004785,237,10
1004813,27,2
1004835,354,13
1004836,367,24
1004838,516,50
1004850,167,14
1004856,156,12
1004857,90,6
1004858,110,32
1004870,233,13
1004873,181,2
1004874,78,2
1004886,179,27
1004887,64,3
1004888,108,5
1004901,47,1
1004903,120,6
1004904,63,2
1004905,30,1
1004931,69,1
1004957,405,3
1004958,320,5
1004961,175,17
1004990,24,10
1005002,56,2
1005003,236,2
1005004,142,10
1005007,81,1
1005008,101,4
1005014,126,2
1005017,48,3
1005018,18,2
1005023,181,1
1005065,64,28
1005066,35,15
1005073,39,1
1005096,40,3
1005098,172,23
1005099,124,31
1005100,438,49
1005104,25,7
1005105,99,8
1005106,27,4
1005109,41,2
1005112,18,3
1005115,240,12
1005116,161,2
1005118,71,1
1005119,56,2
1005121,72,8
1005122,128,14
1005124,62,4
1005129,46,2
1005133,33,1
1005136,78,9
1005139,34,2
1005141,87,1
1005142,80,15
1005144,33,1
1005145,22,3
1005151,41,3
1005157,35,2
1005159,428,14
1005160,880,111
1005161,200,2
1005162,24,2
1005163,130,5
1005168,182,17
1005169,351,30
1005171,118,18
1005190,66,3
1005195,125,3
1005203,381,9
1005205,347,18
1005206,58,1
1005211,170,25
1005212,322,9
1005221,177,1
1005223,712,21
1005225,118,12
1005228,65,1
1005235,152,4
1005236,122,6
1005238,295,5
1005252,338,14
1005253,606,25
1005259,54,1
1005261,62,4
1005262,45,2
1005263,72,1
1005264,172,2
1005265,245,7
1005266,266,2
1005267,74,3
1005273,65,1
1005284,82,2
1005287,275,2
1005288,56,1
1201202,28,1
1201389,29,3
1201466,26,1
1201505,62,1
1201565,112,12
1201566,80,22
1201567,54,5
1305362,76,3
1306686,78,8
1306891,34,7
1306894,50,3
1306980,50,2
1307135,83,1
1307156,36,4
1307187,144,2
1307266,85,1
1307306,31,2
1307310,99,2
1307313,94,1
1307331,206,3
1307352,116,1
1307370,106,1
1307401,144,1
1307433,86,1
1307520,220,6
1307544,39,1
1307554,143,2
1307555,383,6
1307566,109,2
1307568,93,5
1307571,106,1
1307574,85,4
1307582,17,1
1307583,216,1
1307589,43,1
1480252,141,21
1480257,160,1
1700652,108,2
1701452,76,2
1701572,22,1
1801562,43,9
1801592,17,1
1801690,106,1
1801704,125,18
1801726,31,7
1801739,51,3
1801762,37,2
1801849,31,3
1801881,80,4
1801882,51,2
1801901,18,4
1801904,33,3
1801906,64,3
1801967,24,2
1801975,31,1
1801978,136,28
1802005,306,34
1802007,22,3
1802012,12,2
1802019,27,4
1802021,23,1
1802022,41,2
1802026,60,23
1802027,70,1
1802061,229,10
1802079,26,1
1802116,19,2
2400146,28,1
2400648,43,1
2500289,46,2
2500566,58,1
2500577,46,3
2501195,27,4
2501273,47,5
2501275,36,1
2501334,34,4
2501335,35,2
2501391,28,1
2501589,50,2
2501614,73,2
2501637,48,1
2501669,117,1
2501751,134,2
2501753,98,1
2501796,37,1
2501943,154,1
2502011,132,1
2502012,177,2
2502058,40,1
2502060,68,2
2502184,86,2
2502287,116,1
2600843,46,2
2601413,51,2
2601811,58,1
2601936,17,4
2601987,68,3
2602206,74,2
2700120,24,1
2700283,25,2
2700588,58,1
2700598,122,3
2700609,65,6
2700616,37,9
2700619,48,1
2700827,36,1
2700856,100,1
2700984,89,3
2701289,44,5
2701305,152,8
2701306,86,3
2701416,49,7
2701430,50,9
2701431,43,4
2701638,51,5
2701642,95,28
2701650,33,2
2701657,77,1
2701659,138,1
2701667,34,3
2701680,96,2
2701703,42,1
2701705,150,2
2701706,25,1
2701880,54,1
2701887,76,1
2701995,41,2
2702050,136,2
2702277,340,9
2702280,64,1
2702309,97,4
2702331,395,120
2702332,191,2
2702347,111,3
2702416,42,2
2702474,33,7
2702546,51,2
2702563,48,5
2702587,34,2
2702628,69,1
2800149,69,1
2800399,25,3
2800433,39,1
2800475,21,1
2800628,30,1
2800630,49,1
2900561,69,8
2900957,43,1
2900958,148,7
2900992,38,1
3100073,23,1
3100074,56,1
3100189,38,1
3100640,57,1
3100828,64,2
3100970,35,1
3100972,45,3
3200587,25,1
3300371,52,2
3300533,27,3
3600163,31,1
3601331,21,5
3601402,42,4
3601437,24,1
3601446,59,1
3601448,59,2
3601479,38,1
3601494,27,1
3601505,28,2
3601515,35,3
3601522,25,1
3601537,65,1
3700567,41,5
3700677,26,2
3700705,32,1
3700715,46,1
3700766,21,4
3700869,71,2
3701016,27,1
3701056,21,1
3701134,21,1
3701218,43,1
3701241,63,2
3701268,24,3
3800762,67,2
3800774,44,3
3801134,29,3
3801212,91,2
3801233,60,2
4000113,20,1
4100126,25,1
4100131,26,2
4100277,37,2
4100335,49,1
4200858,33,1
4200943,61,2
4201228,32,1
4201373,16,4
4300409,37,1
4501157,93,18
4502106,67,3
4502159,23,1
4502473,45,2
4600575,27,1
4800730,58,2
4802159,69,8
4802272,51,1
4802801,51,2
4802974,24,1
4803637,20,2
4803879,14,1
4803894,43,3
4803948,21,1
4803977,109,14
4804056,189,25
4804295,133,1
4804660,187,6
4804718,84,5
4900386,24,1
4900393,33,1
5000015,19,1
5100343,71,20
5100376,35,1
5100562,22,2
5100719,31,1
5100722,36,2
5100816,159,6
5100833,18,2
5100855,29,4
5301764,39,1
5400104,102,4
5400110,90,1
5800160,116,10
5800616,26,1
5800729,43,2
6200242,80,1
6200514,53,1
6200935,90,1
6200958,138,2
6300680,37,1
6300972,39,1
6301123,75,2
6301417,67,3
6301657,19,1
6301925,30,1
6400290,47,1
6400313,93,4
6400333,90,4
6500801,48,2
6500951,28,1
6501005,44,2
