item_id,revenue
1002524,568.8400
1002525,658.9600
1002540,419.5000
1002544,408.4800
1002545,514.5600
1002547,411.4900
1003312,734.8900
1003333,424.2000
1003499,424.4600
1003712,508.3800
1003943,198.1700
1004082,51.9700
1004174,97.5300
1004210,89.0400
1004225,837.4450
1004226,827.5300
1004227,812.6100
1004228,900.6400
1004229,950.9200
1004237,950.6000
1004240,948.2850
1004242,1106.2600
1004247,848.6700
1004249,763.9150
1004252,786.2500
1004255,772.1900
1004258,770.1600
1004259,848.6200
1004321,270.2700
1004322,270.2700
1004353,205.6700
1004402,151.8700
1004565,164.3000
1004566,165.3650
1004653,595.8700
1004659,686.7350
1004672,123.3000
1004682,246.8500
1004708,161.1100
1004709,151.8400
1004720,127.6500
1004723,128.4200
1004748,127.1300
1004749,222.8900
1004756,84.4300
1004766,249.1300
1004767,252.2300
1004768,250.0450
1004781,272.3100
1004785,272.8300
1004813,231.3800
1004835,199.7000
1004836,201.1450
1004838,162.3950
1004850,564.2100
1004856,133.5700
1004857,126.6200
1004858,127.2900
1004870,269.7400
1004873,356.7400
1004874,384.3100
1004886,128.1500
1004887,126.0800
1004888,198.5100
1004901,486.6800
1004903,115.0400
1004904,115.0400
1004905,113.4600
1004931,283.1200
1004957,292.9000
1004958,293.4200
1004961,164.2000
1004990,257.3800
1005002,205.3800
1005003,230.1100
1005004,205.3800
1005007,117.1200
1005008,122.2700
1005014,440.0000
1005017,102.6800
1005018,102.6800
1005023,372.7300
1005065,231.6400
1005066,278.0000
1005073,1016.7600
1005096,123.2700
1005098,145.1500
1005099,145.1500
1005100,148.4900
1005104,937.0900
1005105,1332.5100
1005106,1425.5150
1005109,924.9800
1005112,938.7400
1005115,936.6150
1005116,1007.0250
1005118,926.3600
1005119,1002.3350
1005121,922.6100
1005122,974.6400
1005124,1513.8550
1005129,1311.4100
1005133,1486.0600
1005136,1939.5600
1005139,1903.8950
1005141,1660.2000
1005142,1882.9300
1005144,1631.6500
1005145,1904.2700
1005151,643.2600
1005157,203.3400
1005159,190.8400
1005160,199.2300
1005161,203.7000
1005162,352.6900
1005163,365.2600
1005168,193.2600
1005169,192.1400
1005171,186.0800
1005190,180.1600
1005195,119.9300
1005203,119.9300
1005205,214.7800
1005206,200.4900
1005211,176.9800
1005212,169.6100
1005221,316.3500
1005223,187.8600
1005225,177.2750
1005228,282.6100
1005235,410.7700
1005236,222.6050
1005238,272.5700
1005252,257.1200
1005253,317.9000
1005259,413.1100
1005261,437.2100
1005262,149.0400
1005263,617.4900
1005264,180.8300
1005265,182.7600
1005266,148.7650
1005267,295.4600
1005273,127.3900
1005284,2032.0850
1005287,300.3300
1005288,262.5600
1201202,230.3400
1201389,1028.3100
1201466,254.8300
1201505,179.9000
1201565,395.0700
1201566,405.1300
1201567,405.3900
1305362,1055.3400
1306686,244.4600
1306891,416.7400
